MSZoning,LotArea,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,ExterQual,Foundation,BsmtQual,TotalBsmtSF,CentralAir,Electrical,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageCond,SaleType,SaleCondition,SalePrice
RM,4456,2Story,4,1920,2008,TA,BrkTil,TA,736,Y,SBrkr,1452,2,2,3,8,0,0,NA,New,Partial,113000
RL,7742,1Story,5,1966,1966,TA,CBlock,TA,955,Y,SBrkr,955,1,3,1,6,0,1,TA,WD,Normal,127000
RL,13869,2Story,6,1997,1997,TA,PConc,Gd,794,Y,SBrkr,1470,2,3,1,6,0,2,TA,WD,Normal,177000
RM,6240,1.5Fin,6,1934,1950,TA,PConc,TA,816,Y,SBrkr,1176,1,3,1,6,1,2,TA,WD,Normal,114500
RM,8472,1Story,5,1963,1963,Fa,CBlock,Gd,816,N,SBrkr,816,1,2,1,5,0,2,TA,WD,Normal,110000
RL,50271,1Story,9,1981,1987,Gd,CBlock,Ex,1842,Y,SBrkr,1842,0,0,1,5,1,3,TA,WD,Normal,385000
RL,7134,SLvl,5,1955,1955,TA,CBlock,TA,384,Y,SBrkr,1360,1,3,1,6,1,2,TA,WD,Normal,130000
RL,10175,1Story,6,1964,1964,TA,CBlock,TA,1425,Y,SBrkr,1425,2,3,1,7,1,2,TA,WD,Normal,180500
FV,2645,2Story,8,1999,2000,Gd,PConc,Gd,970,Y,SBrkr,1739,2,3,1,7,0,2,TA,WD,Abnorml,172500
RL,11645,2Story,7,2004,2004,Gd,PConc,Gd,860,Y,SBrkr,1720,2,3,1,7,0,2,TA,WD,Normal,196500
RL,13682,2Story,10,2006,2006,Ex,PConc,Ex,1410,Y,SBrkr,2945,3,3,1,10,1,3,TA,New,Partial,438780
RL,7200,1Story,5,1972,1972,TA,CBlock,TA,780,Y,SBrkr,780,1,2,1,4,0,1,TA,WD,Normal,124900
RL,13072,1Story,6,2004,2004,TA,PConc,Gd,1158,Y,SBrkr,1158,1,3,1,5,0,2,TA,New,Partial,158000
RM,7200,2.5Unf,5,1920,1996,TA,BrkTil,TA,530,N,SBrkr,1111,1,3,1,6,0,1,TA,WD,Normal,101000
RL,6442,1Story,8,2006,2006,Gd,PConc,Gd,1370,Y,SBrkr,1370,2,2,1,6,1,2,TA,WD,Normal,202500
RM,10300,2Story,7,1921,1950,TA,BrkTil,TA,576,Y,SBrkr,1710,2,3,1,9,0,2,TA,WD,Normal,140000
RL,9375,2Story,7,1997,1998,TA,PConc,Gd,1057,Y,SBrkr,2034,2,3,1,8,0,2,TA,WD,Normal,219500
RL,9591,2Story,8,2004,2005,Gd,PConc,Ex,1143,Y,SBrkr,2473,2,4,1,9,1,3,TA,WD,Normal,317000
RL,19900,1Story,7,1970,1989,TA,CBlock,Gd,1947,Y,SBrkr,2207,2,3,1,7,1,2,TA,WD,Normal,180000
RL,10665,1Story,7,2003,2003,Gd,PConc,Gd,1453,Y,SBrkr,1479,2,3,1,7,0,2,TA,WD,Normal,226000
RM,4608,1Story,4,1945,1950,TA,CBlock,TA,747,Y,SBrkr,747,1,2,1,4,0,1,TA,WD,Normal,80000
RL,15593,1.5Fin,7,1953,1953,Gd,CBlock,TA,1304,Y,SBrkr,2287,2,3,1,7,1,2,TA,WD,Normal,225000
RL,13651,1Story,7,1973,1973,TA,CBlock,Gd,2223,Y,SBrkr,2223,2,3,1,8,2,2,TA,WD,Normal,244000
RL,7599,1Story,4,1982,2006,TA,CBlock,TA,845,Y,SBrkr,845,1,2,1,4,0,2,TA,WD,Normal,129500
RL,10141,2Story,7,1998,1998,TA,PConc,Gd,832,Y,SBrkr,1718,2,3,1,7,1,2,TA,WD,Normal,185000
RL,10200,1Story,5,1954,2003,TA,CBlock,TA,1086,Y,SBrkr,1086,1,3,1,6,0,2,TA,WD,Normal,144900
RM,5790,2Story,3,1915,1950,Gd,CBlock,Fa,840,N,SBrkr,1605,2,3,2,8,0,1,TA,WD,Normal,107400
RM,1596,SLvl,4,1973,1973,TA,CBlock,Gd,462,Y,SBrkr,988,1,2,1,5,0,1,TA,WD,Normal,91000
RL,8475,1Story,4,1956,1956,TA,CBlock,TA,952,Y,FuseA,952,1,2,1,4,0,1,TA,WD,Normal,135750
RM,8635,1.5Fin,5,1948,2001,TA,CBlock,TA,672,Y,SBrkr,1285,1,2,1,6,0,1,TA,WD,Normal,127000
RL,10778,1Story,4,1968,1968,TA,CBlock,TA,1768,N,SBrkr,1768,2,4,2,8,0,0,NA,WD,Normal,136500
RM,10440,2Story,5,1910,1981,TA,PConc,TA,440,Y,SBrkr,1230,1,2,1,5,0,2,TA,WD,Normal,110000
RL,13000,2Story,6,1968,1968,TA,CBlock,Gd,896,Y,SBrkr,2142,2,4,1,8,1,1,TA,WD,Normal,193500
RM,4500,1Story,6,1998,1998,TA,PConc,Ex,1237,Y,SBrkr,1337,2,2,1,5,0,2,TA,WD,Normal,153500
RL,10206,1Story,8,2007,2007,TA,PConc,Gd,1563,Y,SBrkr,1563,2,3,1,6,1,3,TA,WD,Normal,245000
RL,8892,1Story,5,1960,1960,TA,CBlock,TA,1065,Y,SBrkr,1065,1,3,1,6,0,2,TA,COD,Normal,126500
RL,8530,SLvl,7,1995,1996,TA,PConc,Gd,384,Y,SBrkr,1474,2,3,1,7,1,2,TA,WD,Normal,168500
RL,16059,2Story,8,1991,1992,Gd,CBlock,Gd,1288,Y,SBrkr,2417,2,4,1,9,1,2,TA,WD,Normal,260000
RL,11911,2Story,6,2005,2005,Gd,PConc,Gd,684,Y,SBrkr,1560,2,3,1,6,1,2,TA,WD,Normal,174000
FV,3951,2Story,6,2009,2009,Gd,PConc,Gd,612,Y,SBrkr,1224,2,2,1,4,0,2,TA,New,Partial,164500
C (all),8470,1.5Fin,3,1915,1982,Fa,CBlock,TA,1013,N,SBrkr,1526,1,2,1,6,0,0,NA,ConLD,Abnorml,85000
RL,8070,1Story,4,1994,1995,TA,PConc,Gd,990,Y,SBrkr,990,1,3,1,5,0,0,NA,WD,Normal,123600
RL,7200,1Story,4,1950,1950,TA,Slab,NA,0,Y,FuseA,1040,1,2,1,4,0,2,TA,WD,Normal,109900
RL,8500,1Story,5,1961,1961,TA,CBlock,TA,1235,Y,SBrkr,1235,1,2,1,6,0,2,TA,WD,Abnorml,98600
RL,13360,1Story,5,1921,2006,TA,BrkTil,Gd,876,Y,SBrkr,964,1,2,1,5,0,2,TA,WD,Normal,163500
C (all),7200,2.5Unf,6,1910,1998,TA,BrkTil,TA,1214,N,SBrkr,2291,2,4,2,9,1,2,TA,WD,Normal,133900
RL,9337,2Story,6,1997,1997,TA,PConc,Gd,824,Y,SBrkr,1786,2,3,1,7,0,2,TA,WD,Normal,204750
RL,9765,2Story,6,1993,1993,Ex,PConc,Gd,680,Y,SBrkr,1470,2,3,1,6,1,2,TA,WD,Normal,185000
RL,10264,1Story,7,1999,1999,Gd,PConc,Gd,1588,Y,SBrkr,1588,2,3,1,6,0,2,TA,WD,Normal,214000
RL,10921,1Story,4,1965,1965,TA,CBlock,TA,960,Y,FuseF,960,1,3,1,6,0,1,TA,WD,Normal,94750
RL,10625,1Story,5,1920,1950,TA,BrkTil,TA,458,N,SBrkr,835,1,2,1,5,0,1,TA,COD,Abnorml,83000
RL,9320,1Story,4,1959,1959,TA,CBlock,TA,950,Y,SBrkr,1225,1,3,1,6,0,0,NA,WD,Normal,128950
RL,10603,1Story,6,1977,2001,TA,PConc,TA,1610,Y,SBrkr,1610,2,3,1,6,2,2,TA,WD,Normal,205000
RL,9206,2Story,6,1985,1985,Gd,CBlock,Gd,741,Y,SBrkr,1732,2,3,1,7,1,2,TA,WD,Normal,178000
RL,7018,1Story,5,1979,1979,TA,Slab,NA,0,Y,SBrkr,1535,2,4,2,8,0,2,TA,WD,Alloca,118964
RL,10402,1Story,7,2009,2009,TA,PConc,Gd,1226,Y,SBrkr,1226,2,3,1,6,0,3,TA,WD,Normal,198900
RM,7758,1.5Fin,7,1931,1950,TA,PConc,TA,1040,Y,FuseF,1818,1,4,1,7,2,1,TA,WD,Normal,169500
FV,9375,2Story,8,2003,2004,Gd,PConc,Ex,1053,Y,SBrkr,1992,2,3,1,9,1,2,TA,WD,Normal,250000
RM,10800,1Story,4,1885,1995,TA,BrkTil,Fa,641,Y,SBrkr,1047,1,2,1,6,0,1,Fa,WD,Normal,100000
RM,6000,1Story,5,1948,1950,TA,CBlock,TA,789,Y,SBrkr,789,1,2,1,5,0,1,TA,WD,Partial,115000
RM,8500,1.5Fin,5,1919,2005,TA,CBlock,TA,793,N,FuseF,1517,2,3,1,7,0,0,NA,WD,Normal,115000
RL,11751,1Story,6,1977,1977,TA,CBlock,Gd,1844,Y,SBrkr,1844,2,3,1,7,1,2,TA,COD,Normal,190000
RL,9525,1.5Fin,6,1954,1972,TA,CBlock,TA,994,Y,SBrkr,1855,2,4,1,7,0,1,TA,WD,Normal,136900
RL,7750,SLvl,7,2000,2000,TA,PConc,Gd,384,Y,SBrkr,1430,2,3,1,7,1,2,TA,WD,Normal,180000
RL,9965,2Story,7,2007,2007,Gd,PConc,Ex,1264,Y,SBrkr,2696,2,4,1,10,1,3,TA,New,Partial,383970
RL,21000,1Story,6,1953,1953,TA,CBlock,Gd,1809,Y,SBrkr,2259,2,3,1,7,2,2,TA,COD,Abnorml,217000
RL,7259,2Story,6,1945,2002,TA,CBlock,TA,1028,Y,SBrkr,2320,2,3,1,9,1,1,TA,WD,Normal,259500
FV,3230,2Story,6,1999,1999,TA,PConc,Gd,729,Y,SBrkr,1458,2,2,1,5,1,2,TA,WD,Normal,176000
RL,11616,1Story,5,1962,1962,TA,CBlock,TA,1092,Y,SBrkr,1092,1,3,1,6,1,1,TA,WD,Normal,139000
RL,8536,1Story,5,2006,2007,TA,PConc,Gd,1125,Y,SBrkr,1125,1,2,1,5,0,2,TA,New,Partial,155000
RL,12376,2Story,7,1990,1990,TA,PConc,Gd,1673,Y,SBrkr,3222,3,5,1,11,2,3,TA,WD,Normal,320000
RL,8461,2Story,6,2005,2006,Gd,PConc,Gd,728,Y,SBrkr,1456,2,3,1,8,1,2,TA,New,Partial,163990
RL,21453,SLvl,6,1969,1969,TA,CBlock,TA,938,Y,SBrkr,988,1,1,1,4,2,2,TA,WD,Normal,180000
RM,6060,1.5Fin,4,1939,1950,TA,PConc,TA,732,Y,SBrkr,1123,1,3,1,4,0,1,TA,WD,Normal,100000
RL,9464,1Story,6,1958,1958,TA,CBlock,TA,1080,Y,SBrkr,1080,1,3,1,5,0,1,TA,WD,Normal,136000
RL,7892,1Story,6,1993,1993,Gd,PConc,Gd,1199,Y,SBrkr,1199,2,2,1,5,0,2,TA,WD,Normal,153900
RL,17043,1Story,6,1979,1998,TA,CBlock,Gd,1362,Y,SBrkr,1586,2,3,1,7,1,2,TA,WD,Normal,181000
RM,6780,1.5Fin,6,1935,1982,TA,CBlock,TA,520,N,SBrkr,754,1,2,1,5,0,0,NA,WD,Normal,84500
RL,4928,1Story,6,1976,1976,TA,CBlock,Gd,1078,Y,SBrkr,958,2,2,1,5,1,2,TA,WD,Normal,128000
RM,4388,1.5Unf,5,1930,1950,TA,BrkTil,TA,672,Y,SBrkr,840,1,3,1,5,1,0,NA,WD,Normal,87000
RL,7590,2Story,6,1966,1966,TA,CBlock,TA,660,Y,SBrkr,1348,1,3,1,6,1,2,TA,WD,Normal,155000
RL,8973,1Story,5,1958,1991,TA,CBlock,TA,1008,Y,FuseA,1053,1,3,1,6,0,2,TA,WD,Abnorml,150000
RL,14200,2Story,7,1966,1966,TA,CBlock,TA,924,Y,SBrkr,2157,2,4,1,8,2,2,TA,WD,Normal,226000
RL,12224,2Story,6,2000,2000,Gd,PConc,Gd,992,Y,SBrkr,2054,2,3,1,7,1,2,TA,WD,Normal,244000
RL,7388,1Story,5,1959,2002,TA,CBlock,TA,1063,Y,SBrkr,1327,1,3,1,7,0,2,TA,WD,Normal,150750
RL,6853,1Story,8,2001,2002,Gd,PConc,Ex,1267,Y,SBrkr,1296,2,2,1,6,0,2,TA,WD,Normal,220000
RL,10335,1Story,5,1968,1993,TA,CBlock,TA,1461,Y,SBrkr,1721,2,3,1,7,1,2,TA,WD,Normal,180000
RL,10400,1Story,7,1970,1970,TA,PConc,TA,1304,Y,SBrkr,1682,2,3,1,7,1,2,TA,WD,Normal,174000
RL,10355,1Story,5,1967,1967,TA,CBlock,TA,1214,Y,SBrkr,1214,2,3,1,5,1,1,TA,WD,Normal,143000
RL,11070,1Story,7,1988,1989,TA,CBlock,TA,1907,Y,SBrkr,1959,3,5,2,9,0,3,TA,WD,Family,171000
RL,9066,2Story,8,1999,2000,Gd,PConc,Gd,1004,Y,SBrkr,1852,2,3,1,7,2,3,TA,WD,Normal,230000
RL,15426,2Story,6,1997,1997,TA,PConc,Gd,928,Y,SBrkr,1764,2,3,1,7,0,2,TA,WD,Normal,231500
RL,10500,1Story,4,1971,1971,TA,CBlock,TA,864,Y,SBrkr,864,1,3,1,5,1,0,NA,ConLI,Normal,115000
RL,11645,1Story,7,2005,2005,Gd,PConc,Gd,1734,Y,SBrkr,1734,2,3,1,7,0,2,TA,WD,Normal,260000
RL,8520,1.5Fin,5,1952,1952,TA,CBlock,TA,910,Y,SBrkr,1385,2,4,1,6,0,2,TA,WD,Normal,166000
RL,10335,1Story,7,1999,1999,Gd,PConc,Gd,1490,Y,SBrkr,1501,2,3,1,6,0,2,TA,WD,Normal,204000
RM,9100,1Story,5,1963,1963,TA,CBlock,TA,1728,Y,SBrkr,1728,2,6,2,10,0,2,TA,ConLI,Abnorml,125000
RM,2522,2Story,6,2004,2006,Gd,PConc,Gd,970,Y,SBrkr,1709,2,3,1,7,0,2,TA,WD,Normal,130000
RM,6120,1Story,5,1931,1993,TA,BrkTil,TA,715,Y,FuseA,875,1,2,1,5,0,1,TA,WD,Normal,105000
RL,9505,2Story,7,2001,2001,Gd,PConc,Gd,884,Y,SBrkr,2035,2,3,1,8,1,2,TA,WD,Normal,222500
RL,7500,1Story,7,2004,2005,TA,PConc,Gd,1080,Y,SBrkr,1080,1,3,1,6,0,0,NA,WD,Normal,141000
RM,6240,1.5Fin,5,1936,1950,TA,BrkTil,Gd,896,Y,FuseA,1344,1,3,1,7,0,1,TA,WD,Normal,115000
RL,10356,1Story,5,1975,1975,TA,CBlock,TA,969,Y,SBrkr,969,1,3,1,5,0,2,TA,WD,Normal,122000
RL,13891,1Story,8,2007,2008,Gd,PConc,Ex,1710,Y,SBrkr,1710,2,2,1,6,1,3,TA,New,Partial,372402
RL,14803,2Story,6,1971,1971,TA,CBlock,TA,825,Y,SBrkr,1993,2,4,1,8,1,2,TA,WD,Normal,190000
RL,13500,1Story,6,1960,1975,TA,CBlock,Gd,1602,Y,SBrkr,1252,1,1,1,4,1,2,TA,WD,Normal,235000
RM,11340,1Story,6,1923,1950,TA,BrkTil,TA,1200,Y,FuseA,1200,1,4,1,7,0,1,Fa,WD,Family,125000
RL,9600,1.5Fin,6,1924,1950,TA,BrkTil,TA,572,N,FuseF,1096,1,2,1,5,0,0,NA,WD,Normal,79000
RL,7200,1Story,5,1950,1950,TA,CBlock,NA,0,Y,FuseF,1040,1,2,1,5,0,2,TA,WD,Normal,109500
RL,12003,2Story,8,2009,2010,Gd,PConc,Ex,774,Y,SBrkr,1968,2,4,1,8,1,3,TA,New,Partial,269500
FV,12552,2Story,7,2004,2005,Gd,PConc,Gd,991,Y,SBrkr,1947,2,3,1,8,1,2,TA,WD,Normal,254900
RL,19378,2Story,7,2005,2006,Gd,PConc,Gd,1392,Y,SBrkr,2462,2,4,1,9,1,2,TA,New,Partial,320000
RL,11120,1Story,6,1984,1984,TA,PConc,Gd,1232,Y,SBrkr,1232,2,3,1,6,0,2,TA,WD,Normal,162500
RL,13688,2Story,9,2003,2004,Gd,PConc,Ex,1572,Y,SBrkr,2668,2,3,1,10,2,3,TA,WD,Normal,412500
RL,12182,1Story,7,2005,2005,Gd,PConc,Gd,1541,Y,SBrkr,1541,2,3,1,7,1,2,TA,New,Partial,220000
RL,5500,1.5Unf,4,1956,1956,TA,CBlock,TA,882,Y,SBrkr,882,1,1,1,4,0,0,NA,WD,Normal,103200
RM,5400,1Story,6,1926,2004,TA,BrkTil,TA,1149,Y,FuseA,1616,2,3,1,5,0,1,TA,WD,Normal,152000
RL,10106,1.5Fin,5,1940,1999,TA,BrkTil,TA,644,Y,SBrkr,1355,2,4,2,6,0,0,NA,WD,Normal,127500
RL,10708,1Story,5,1955,1993,Gd,CBlock,TA,1617,Y,FuseA,1867,1,2,1,7,3,1,TA,COD,Normal,190000
RL,10562,2Story,8,2007,2007,Gd,PConc,Ex,1582,Y,SBrkr,2161,1,3,1,8,1,3,TA,New,Partial,325624
RL,8244,2Story,7,2004,2004,Gd,PConc,Gd,840,Y,SBrkr,1720,2,3,1,7,1,2,TA,WD,Normal,183500
RL,16669,1Story,8,1981,1981,Gd,CBlock,Gd,1686,Y,SBrkr,1707,2,2,1,6,1,2,TA,WD,Normal,228000
RM,12358,1.5Fin,5,1941,1950,TA,CBlock,TA,720,Y,SBrkr,1382,1,2,1,7,0,2,TA,WD,Normal,128500
RL,31770,1Story,6,1960,1960,TA,CBlock,TA,1080,Y,SBrkr,1656,1,3,1,7,2,2,TA,WD,Normal,215000
RL,5306,2Story,7,1987,1987,Gd,PConc,Gd,1064,Y,SBrkr,1767,2,2,1,5,1,2,TA,WD,Normal,239000
RL,10197,1Story,6,1961,1961,TA,CBlock,TA,1362,Y,SBrkr,1362,1,3,1,6,1,2,TA,COD,Normal,163000
RL,12416,1Story,6,1986,1986,TA,CBlock,Gd,1606,Y,SBrkr,1651,2,3,1,7,1,2,TA,WD,Normal,184000
RL,12615,1Story,6,1950,2001,TA,CBlock,TA,1202,Y,SBrkr,2158,2,4,1,7,1,2,TA,WD,Normal,243000
RL,10029,2Story,6,1988,1989,Gd,PConc,Gd,1151,Y,SBrkr,2060,2,4,1,8,1,2,TA,WD,Normal,211000
RL,13650,1.5Fin,5,1958,1958,Gd,CBlock,TA,1052,Y,SBrkr,1920,2,4,1,8,1,2,TA,WD,Normal,172500
RL,17423,1Story,9,2008,2009,Ex,PConc,Ex,2216,Y,SBrkr,2234,2,1,1,9,1,3,TA,New,Partial,501837
RM,8520,1Story,5,1923,2006,Gd,CBlock,TA,968,Y,SBrkr,968,1,2,1,5,0,2,TA,WD,Normal,100000
FV,2117,2Story,6,2000,2000,Gd,PConc,Gd,756,Y,SBrkr,1525,2,3,1,5,1,2,TA,WD,Normal,177000
RL,7588,2Story,7,1920,1950,TA,BrkTil,Fa,793,Y,SBrkr,1802,1,4,1,9,1,1,TA,WD,Normal,200100
RL,9060,1Story,5,1957,2006,TA,PConc,NA,0,Y,SBrkr,1340,1,3,1,7,1,1,TA,WD,Normal,120000
RM,11426,1.5Fin,7,2003,2003,TA,PConc,Gd,1362,Y,SBrkr,2082,2,3,1,6,0,2,TA,WD,Normal,200000
RL,7438,1.5Fin,5,1908,1991,TA,PConc,Fa,504,Y,SBrkr,1252,1,3,1,5,0,2,TA,WD,Normal,127000
RM,22950,2.5Fin,10,1892,1993,Gd,BrkTil,TA,1107,Y,SBrkr,3608,2,4,1,12,2,3,TA,WD,Normal,475000
RL,9947,SLvl,7,1990,1991,TA,PConc,Gd,1188,Y,SBrkr,1217,2,3,1,6,0,2,TA,WD,Normal,173000
RL,10410,1.5Fin,5,1916,1987,TA,CBlock,Fa,660,Y,SBrkr,1656,2,3,1,8,0,1,Fa,WD,Normal,135000
RL,7018,SFoyer,5,1979,1979,TA,CBlock,Gd,1086,Y,SBrkr,1224,0,2,2,6,2,2,TA,WD,Alloca,153337
RL,4923,1Story,8,2001,2002,Gd,PConc,Ex,1593,Y,SBrkr,1593,1,0,1,5,1,2,TA,WD,Normal,286000
RL,10570,2Story,8,1932,1994,Gd,CBlock,Gd,853,Y,SBrkr,2727,2,3,1,10,2,2,TA,WD,Normal,315000
RL,7472,2Story,7,1972,2004,TA,CBlock,TA,725,Y,SBrkr,1479,1,4,1,7,0,2,TA,WD,Normal,184000
RL,9017,1Story,7,1999,1999,Gd,PConc,Gd,1431,Y,SBrkr,1431,2,3,1,6,0,2,TA,WD,Normal,192000
RM,2522,2Story,7,2004,2004,Gd,PConc,Gd,970,Y,SBrkr,1709,2,3,1,7,0,2,TA,WD,Normal,130000
RL,7180,1Story,5,1972,1972,TA,CBlock,TA,864,Y,SBrkr,864,1,3,1,5,0,1,TA,WD,Normal,127000
RL,2280,2Story,6,1976,1976,TA,CBlock,Gd,855,Y,SBrkr,1456,2,3,1,7,1,2,TA,WD,Normal,148500
RL,9416,1Story,7,2007,2007,Ex,PConc,Ex,1726,Y,SBrkr,1726,2,3,1,8,1,3,TA,New,Partial,311872
